arch,dataset,mode,fraction,accuracy,std,num_seeds
resnet18,cifar10,scratch,0.1,30.14,,1
resnet18,cifar10,scratch,0.25,39.32,,1
resnet18,cifar10,scratch,0.5,45.09,,1
resnet18,cifar10,scratch,1.0,53.31,,1
resnet18,cifar10,finetune,0.1,10.59,,1
resnet18,cifar10,finetune,0.25,12.2,,1
resnet18,cifar10,finetune,0.5,15.28,,1
resnet18,cifar10,finetune,1.0,21.25,,1
resnet18,cifar10,linear_probe,0.1,33.63,,1
resnet18,cifar10,linear_probe,0.25,37.41,,1
resnet18,cifar10,linear_probe,0.5,37.31,,1
resnet18,cifar10,linear_probe,1.0,39.41,,1
resnet18,cifar100,scratch,0.1,2.93,,1
resnet18,cifar100,scratch,0.25,8.72,,1
resnet18,cifar100,scratch,0.5,14.8,,1
resnet18,cifar100,scratch,1.0,20.26,,1
resnet18,cifar100,finetune,0.1,1.03,,1
resnet18,cifar100,finetune,0.25,1.02,,1
resnet18,cifar100,finetune,0.5,1.18,,1
resnet18,cifar100,finetune,1.0,1.65,,1
resnet18,cifar100,linear_probe,0.1,7.67,,1
resnet18,cifar100,linear_probe,0.25,13.09,,1
resnet18,cifar100,linear_probe,0.5,16.9,,1
resnet18,cifar100,linear_probe,1.0,19.06,,1
resnet18,tiny_imagenet,scratch,0.1,1.72,,1
resnet18,tiny_imagenet,scratch,0.25,3.59,,1
resnet18,tiny_imagenet,scratch,0.5,6.81,,1
resnet18,tiny_imagenet,scratch,1.0,10.63,,1
resnet18,tiny_imagenet,finetune,0.1,0.62,,1
resnet18,tiny_imagenet,finetune,0.25,0.61,,1
resnet18,tiny_imagenet,finetune,0.5,0.62,,1
resnet18,tiny_imagenet,finetune,1.0,0.68,,1
resnet18,tiny_imagenet,linear_probe,0.1,3.55,,1
resnet18,tiny_imagenet,linear_probe,0.25,6.4,,1
resnet18,tiny_imagenet,linear_probe,0.5,8.56,,1
resnet18,tiny_imagenet,linear_probe,1.0,9.75,,1
resnet50,cifar10,scratch,0.1,10.83,,1
resnet50,cifar10,scratch,0.25,12.36,,1
resnet50,cifar10,scratch,0.5,12.81,,1
resnet50,cifar10,scratch,1.0,16.21,,1
resnet50,cifar10,finetune,0.1,12.4,,1
resnet50,cifar10,finetune,0.25,12.83,,1
resnet50,cifar10,finetune,0.5,13.52,,1
resnet50,cifar10,finetune,1.0,16.25,,1
resnet50,cifar10,linear_probe,0.1,35.18,,1
resnet50,cifar10,linear_probe,0.25,40.53,,1
resnet50,cifar10,linear_probe,0.5,42.03,,1
resnet50,cifar10,linear_probe,1.0,44.16,,1
resnet50,cifar100,scratch,0.1,1.25,,1
resnet50,cifar100,scratch,0.25,1.18,,1
resnet50,cifar100,scratch,0.5,1.26,,1
resnet50,cifar100,scratch,1.0,1.71,,1
resnet50,cifar100,finetune,0.1,1.02,,1
resnet50,cifar100,finetune,0.25,1.07,,1
resnet50,cifar100,finetune,0.5,1.05,,1
resnet50,cifar100,finetune,1.0,1.28,,1
resnet50,cifar100,linear_probe,0.1,8.72,,1
resnet50,cifar100,linear_probe,0.25,14.93,,1
resnet50,cifar100,linear_probe,0.5,18.22,,1
resnet50,cifar100,linear_probe,1.0,20.26,,1
resnet50,tiny_imagenet,scratch,0.1,0.6,,1
resnet50,tiny_imagenet,scratch,0.25,0.58,,1
resnet50,tiny_imagenet,scratch,0.5,0.63,,1
resnet50,tiny_imagenet,scratch,1.0,0.75,,1
resnet50,tiny_imagenet,finetune,0.1,0.47,,1
resnet50,tiny_imagenet,finetune,0.25,0.54,,1
resnet50,tiny_imagenet,finetune,0.5,0.55,,1
resnet50,tiny_imagenet,finetune,1.0,0.52,,1
resnet50,tiny_imagenet,linear_probe,0.1,4.36,,1
resnet50,tiny_imagenet,linear_probe,0.25,7.81,,1
resnet50,tiny_imagenet,linear_probe,0.5,10.09,,1
resnet50,tiny_imagenet,linear_probe,1.0,11.53,,1
